Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score,Accession_Mapped
contextual,CORVET tethering complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,The CORVET tethering complex is involved in the early endosome fusion process. It functions primarily in tethering endosomal membranes and catalyzing the fusion of these vesicles.,Vac1;  Vps3;  Vps8;  Vps11;  Vps16;  Vps18;  Vps33;  Vps39,VAC1;  VPS3;  VPS8;  VPS11;  VPS16;  VPS18;  VPS33;  VPS39,0.925,P32609; B3LFH2; B3LUU1; P12868; C7GU09; P27801; A0A6C1DP95; B3LGX2
zero-shot,Sodium leak channel complex,Homo Sapiens,Mouse,The NALCN complex functions as a sodium leak channel that is crucial for maintaining the resting membrane potential and controlling neuronal excitability. It allows a steady influx of sodium ions;  thus contributing to the regulation of electrical excitability in neurons., NALCN;  UNC79;  UNC80;   FAM155A. ,The genes corresponding to the proteins in the NALCN complex of humans are:,0.97,A0A1D8QAD2; A0A8Q3SHI5; A0A669KAW8; B1AL88
few-shot,Sodium leak channel complex,Drosophila Melanogaster,Human;  C. elegans,Voltage-gated ion channel responsible for the depolarizing sodium (Na+) leak currents that determine resting Na(+) permeability and control neuronal excitability. Functions downstream of the molecular circadian clock in pacemaker neurons to promote behavioral rhythmicity.,Protein unc-80 homolog;  Narrow abdomen isoform F;  Uncoordinated 79 isoform B,unc80;  na;  unc79,0.92,Q9VB11; A8JUW5; E1JIP9
contextual,Sodium leak channel complex,Drosophila Melanogaster,Human;  C. elegans',Voltage-gated ion channel responsible for the depolarizing sodium (Na+) leak currents that determine resting Na(+) permeability and control neuronal excitability. Functions downstream of the molecular circadian clock in pacemaker neurons to promote behavioral rhythmicity.',Protein unc-80 homolog;  Narrow abdomen isoform F;  Uncoordinated 79 isoform B',unc80;  na;  unc79',0.92,Q9VB11; A8JUW5; E1JIP9
zero-shot,ATG1 protein kinase complex,Saccharomyces cerevisiae,Drosophila melanogaster,The ATG1 protein kinase complex in *Saccharomyces cerevisiae* (budding yeast) is essential for the initiation of autophagy. It regulates the formation of autophagosomes by phosphorylating other autophagy-related proteins and facilitating their interactions;  thereby modulating the induction of autophagy pathways.,Atg1;  Atg13;  Atg17;  Atg29;  Atg31,ATG1;  ATG13;  ATG17;  ATG29;  ATG31,0.965,B5VIE9; C7GP67; A7A1U4; A6ZW87; Q12421
few-shot,ATG1 protein kinase complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster',The ATG1 protein kinase complex is vital for the initiation of autophagy;  a cellular degradation process that helps in the recycling of cellular components.',ATG1;  ATG13;  ATG17;  ATG29;  ATG31',ATG1;  ATG13;  ATG17;  ATG29;  ATG31',0.8975,B5VIE9; C7GP67; A7A1U4; A6ZW87; Q12421
contextual,ATG1 protein kinase complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,The ATG1 protein kinase complex is a crucial component in the autophagy pathway;  specifically initiating the autophagy process by phosphorylating downstream ATG proteins. This action is vital for mobilizing cellular responses to nutrient deprivation.,ATG1;  ATG13;  ATG17;  ATG29;  ATG31,ATG1;  ATG13;  ATG17;  ATG29;  ATG31,0.955,B5VIE9; C7GP67; A7A1U4; A6ZW87; Q12421
zero-shot,NXF1-NXT1 mRNA nuclear export factor complex,Homo Sapiens,The NXF1-NXT1 complex is also found in Mouse;  Drosophila melanogaster;  and Caenorhabditis elegans.,The NXF1-NXT1 complex is primarily involved in the nuclear export of mRNA. It facilitates the transport of mRNA from the nucleus to the cytoplasm;  an essential process for gene expression. The complex binds to processed mRNAs and helps them pass through the nuclear pore complex.,NXF1; NXT1,NXF1 protein is encoded by the NXF1 gene.; NXT1 protein is encoded by the NXT1 gene.,0.96,"	
Q9UBU9; Q9UKK6"
few-shot,NXF1-NXT1 mRNA nuclear export factor complex,Homo Sapiens,Drosophila melanogaster;  Mouse',This complex plays a critical role in the nuclear export of messenger RNA (mRNA) by binding to the mRNA and facilitating its transport through the nuclear pore complex into the cytoplasm.',Nuclear RNA export factor 1;  Nuclear transport factor 2-like export factor 1,NXF1;  NXT1',0.905,"Q9UBU9; 	
	
Q9GZY0"
contextual,NXF1-NXT1 mRNA nuclear export factor complex,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster,Facilitates the export of mRNA from the nucleus to the cytoplasm by binding to mRNA export adaptors and supporting nuclear pore complex translocation.,Nuclear RNA export factor 1;  NTF2-related export protein 1,NXF1;  NXT1,0.967,Q9UBU9; Q9UKK6
zero-shot,MON1-CCZ1 guanyl-nucleotide exchange factor complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,The MON1-CCZ1 guanyl-nucleotide exchange factor (GEF) complex functions primarily as a regulator involved in the activation of Rab GTPases on endosomal membranes. It facilitates the conversion of Rab5 to Rab7 by acting as a GEF specific to Rab7;  thereby playing a critical role in endosome maturation and endolysosomal trafficking.,MON1;  CCZ1,In Saccharomyces cerevisiae;  these proteins correspond to the genes MON1 (YGL195W) and CCZ1 (YBR131W) respectively.,0.9575,B5VIK5; C7GY14
few-shot,MON1-CCZ1 guanyl-nucleotide exchange factor complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,Regulates membrane trafficking and autophagy through the activation of the small GTPase;  Rab7;  by facilitating the transition from Rab5 to Rab7 on endosomes.,Mon1 protein;  Ccz1 protein,MON1;  CCZ1,0.94,C7GM15; P38273
contextual,MON1-CCZ1 guanyl-nucleotide exchange factor complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,This complex functions as a guanyl-nucleotide exchange factor (GEF) for the small GTPase Rab7;  which is crucial for endosomal maturation and trafficking within cells.,MON1 homologs and CCZ1 homologs,MON1;  CCZ1,0.925,P53129
zero-shot,HipHop-HOAP telomere-capping complex,Drosophila Melanogaster,The HipHop-HOAP complex is not prominently found in Humans;  Mouse;  C. elegans;  or Saccharomyces cerevisiae.,The HipHop-HOAP complex is essential for telomere capping;  which protects the ends of chromosomes from being mistakenly repaired as DNA breaks. Telomeres play a critical role in maintaining chromosome stability and are involved in the regulation of cellular aging and senescence., HipHop; HOAP,HipHop: CG3376; HOAP: caravaggio (cav),1,Q7JWP6; Q7JWP6
few-shot,HipHop-HOAP telomere-capping complex,Drosophila Melanogaster,,This complex is essential for protecting the ends of chromosomes from degradation and undesirable end-to-end fusions;  thus maintaining genome stability.,Heterochromatin Protein 1/ORC-Associated Protein;  HipHop protein,caravaggio (cav) for HOAP;  CG31279 for HipHop,0.9125,Not Found; Q7JWP6
contextual,HipHop-HOAP telomere-capping complex,Drosophila Melanogaster,,This complex plays a critical role in protecting telomeres;  ensuring they are properly capped and preventing them from being recognized as DNA damage;  which is pivotal for maintaining genomic stability.,HipHop;  HOAP,CG31255 (for HipHop);  caravaggio (cav;  for HOAP),0.9125,Q7JWP6; Q7JWP6
zero-shot,ZFP-1(AF10)/DOT-1 complex,Caenorhabditis Elegans,The similar complex (DOT1L-associated proteins and function) is found in humans and mice but with different naming and potentially varied subunit compositions.,The ZFP-1(AF10)/DOT-1 complex in *Caenorhabditis elegans* is involved in transcriptional regulation;  particularly impacting gene expression through the modification of chromatin. The complex affects H3K79 methylation;  a critical histone modification involved in gene expression regulation during development and cell differentiation.,ZFP-1; DOT-1,zfp-1 and dot-1,0.93,P34447; Q6AW06
few-shot,ZFP-1(AF10)/DOT-1 Complex,Caenorhabditis Elegans,Human;  Mouse',The ZFP-1(AF10)/DOT-1 complex in C. elegans is involved in the regulation of gene expression through histone methylation;  specifically affecting H3K79 methylation;  which plays a key role in controlling transcription and development.',ZFP-1;  DOT-1',zfp-1;  dot-1',0.925,P34447; Q6AW06
contextual,ZFP-1(AF10)/DOT-1 complex,Caenorhabditis Elegans,Drosophila melanogaster;  Human;  Mouse,This complex is primarily involved in the regulation of gene expression during development by mediating histone methylation;  specifically affecting the chromatin state and transcriptional activity of specific genes.,Zinc finger protein 1 homolog;  Disruptor of telomeric silencing one homolog,zfp-1;  dot-1',0.925,E9P860; Not Found
zero-shot,ced-3-ced-4-mac-1 complex,Caenorhabditis Elegans,While analogs of individual components (e.g.;  caspases and APAF-1) can be found in humans and other animals such as mice and Drosophila;  the exact CED-3-CED-4-MAC-1 complex is specifically characterized in *C. elegans*.,The ced-3-ced-4-mac-1 complex is vital for the regulation of programmed cell death or apoptosis in the nematode *Caenorhabditis elegans*. This complex promotes activation of the caspase CED-3;  which executes apoptosis upon recruitment and activation by CED-4. MAC-1 is less characterized but is believed to play a supportive role in this complex formation and function.,CED-3;  CED-4;  MAC-1,ced-3;  ced-4;  mac-1,1,Q95NM6; Q9NAG4; Q9NAG4
few-shot,ced-3-ced-4-mac-1 complex,Caenorhabditis Elegans,N/A',This complex plays a crucial role in the programmed cell death (apoptosis) pathway in C. elegans by facilitating the activation of the CED-3 protease;  which is an essential executor caspase in apoptosis.',CED-3;  CED-4;  MAC-1',ced-3;  ced-4;  mac-1',0.9,Q95NM6; Q9NAG4; Q9NAG4
contextual,ced-3-ced-4-mac-1 complex,Caenorhabditis Elegans,,This complex plays an integral role in the programmed cell death pathway in *Caenorhabditis elegans*. CED-3 is a caspase that is activated by the CED-4 protein;  which is homologous to Apaf-1 in mammals. The MAC-1 component is less characterized but thought to assist in the apoptotic signaling cascade.,CED-3;  CED-4;  MAC-1,ced-3;  ced-4;  mac-1,0.946,Q95NM6; Q9NAG4; Q9NAG4
zero-shot,Nuclear mitotic cohesin complex,Saccharomyces cerevisiae,This protein complex is found in homologous forms in other organisms such as Humans;  Mouse;  C. elegans;  and Drosophila melanogaster.,The nuclear mitotic cohesin complex is primarily involved in sister chromatid cohesion during cell division;  specifically during mitosis. It ensures proper chromosomes segregation;  maintains genomic stability;  and facilitates DNA repair., Smc1;  Smc3;  Scc1;  Scc3,Smc1 is encoded by the *SMC1* gene.; Smc3 is encoded by the *SMC3* gene.; Scc1 (Mcd1) is encoded by the *SCC1* (or *MCD1*) gene.; Scc3 is encoded by the *SCC3* gene.,0.9125,P32908; P47037; Q12158; P40541
few-shot,Nuclear mitotic cohesin complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,This complex is crucial for sister chromatid cohesion during cell division;  specifically in mitosis. It ensures that sister chromatids remain paired until they are appropriately separated into daughter cells.,Scc1;  Smc1;  Smc3;  and Scc3.,SCC1;  SMC1;  SMC3;  SCC3',0.9125,Q12158; P32908; P47037; A6ZVP2
contextual,Nuclear mitotic cohesin complex,Saccharomyces cerevisiae,Human;  Drosophila melanogaster;  C. elegans;  Mouse',This protein complex is crucial for maintaining sister chromatid cohesion during mitosis in eukaryotic cells. It ensures accurate chromosome segregation and is involved in DNA repair processes during cell division.',Scc1;  Scc3;  Smc1;  Smc3;  Pds5;  Rad21',SCC1;  SCC3;  SMC1;  SMC3;  PDS5;  RAD21',0.955,Q12158; P40541; P32908; P47037; B3LLW9; B3LL68
zero-shot,Atk-1/Akt-2/Sgk-1 protein kinase complex,Caenorhabditis Elegans,The protein complex with similar functionalities is also found in humans;  mice;  and Drosophila melanogaster.,The Akt-1/Akt-2/Sgk-1 protein kinase complex is primarily involved in intracellular signaling pathways that regulate various cellular processes;  such as glucose metabolism;  cell proliferation;  apoptosis;  transcription;  and cell migration. It plays a critical role in response to extracellular stimuli and is pivotal for maintaining cellular integrity and function.,Akt-1; Akt-2; Sgk-1,akt-1; akt-2; sgk-1,0.91,Q17941; Q9XTG7; Q2PJ68
few-shot,Atk-1/Akt-2/Sgk-1 protein kinase complex,Caenorhabditis Elegans,Human;  Mouse,This complex is involved in various signaling pathways that regulate critical cellular processes such as metabolism;  growth;  proliferation;  and survival. It functions mainly in response to insulin signaling and can modulate the activity of downstream targets involved in these processes.,Serine/threonine-protein kinase Akt-1;  Serine/threonine-protein kinase Akt-2;  Serum/glucocorticoid-regulated kinase 1,akt-1;  akt-2;  sgk-1,0.9125,Q17941; Q9XTG7; Q2PJ68
contextual,Atk-1/Akt-2/Sgk-1 protein kinase complex,Caenorhabditis Elegans,Human;  Mouse,This protein kinase complex is involved in regulating various cellular process including metabolism;  cell proliferation;  survival;  and differentiation. It is a part of the signaling pathways that mediate responses to growth factors and other extracellular stimuli;  particularly important in stress resistance and longevity.,Atk-1;  Akt-2;  Sgk-1,akt-1;  akt-2;  sgk-1,0.925,"	
Q17941; Q9XTG7; Q2PJ68"
zero-shot,RB1-E2F1-TFDP1 transcription repressor complex,Homo Sapiens,Mouse (also contains orthologous proteins that form a similar complex),The RB1-E2F1-TFDP1 transcription repressor complex plays a crucial role in regulating the cell cycle;  particularly in controlling the transition from the G1 to S phase. It achieves this by repressing E2F-responsive genes that are essential for DNA replication and cell cycle progression.,RB1; E2F1; TFDP1,RB1: Encodes the Retinoblastoma Protein;  crucial for cell cycle regulation.; E2F1: Encodes the E2F Transcription Factor 1;  involved in driving the cell cycle forward by activating certain genes.; TFDP1: Encodes the Transcription Factor Dp-1;  an important partner of E2F1 for DNA binding and regulation.,0.965,Q6LE80; Q01094; Q5JSB5
few-shot,RB1-E2F1-TFDP1 transcription repressor complex,Homo Sapiens,Mouse,This complex plays a critical role in cell cycle regulation by repressing E2F target gene transcription and thus controlling progression from the G1 to S phase of the cell cycle.,Retinoblastoma-associated protein;  E2F transcription factor 1;  Transcription factor Dp-1,RB1;  E2F1;  TFDP1,0.925,Q2PMD0; Q9BSD8; F5H452
contextual,RB1-E2F1-TFDP1 transcription repressor complex,Homo Sapiens,Mouse,This transcription repressor complex plays a crucial role in regulating the cell cycle by inhibiting the transition from the G1 to S phase. It does this by binding to E2F-responsive promoters;  thus controlling the transcription of genes necessary for DNA replication.,Retinoblastoma-associated protein;  Transcription factor E2F1;  Transcription factor Dp-1,RB1;  E2F1;  TFDP1,0.955,Q2PMD0; Q01094; F5H452
zero-shot,"PETISCO, pid-1 variant",Caenorhabditis Elegans,The PETISCO complex is not prominently found in the other specified organisms (Human;  Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae) in relation to the pid-1 variant function.,The PETISCO complex;  specifically the pid-1 variant in *Caenorhabditis elegans*;  is involved in the biogenesis of piRNAs. These small RNAs play a crucial role in silencing transposable elements and maintaining germline integrity., PID-1;  PRG-1;   RDE-4,The corresponding genes for these proteins are pid-1;  prg-1;  and rde-4.,0.91,Q19541; P90786; G5EBF5
few-shot,"PETISCO, pid-1 variant",Caenorhabditis Elegans,N/A',Involved in the biogenesis of small RNAs that protect the germline in *C. elegans*;  by aiding in the processing of primary piRNAs.',PID-1;  TOFU-6;  ERH-2;  TOFU-5,pid-1;  tofu-6;  erh-2;  tofu-5',0.9125,Q19541; Q09293; Q20057; Q23096
contextual,"PETISCO, pid-1 variant",Caenorhabditis Elegans,N/A',The PETISCO complex in C. elegans is critically involved in the biogenesis of small RNAs and plays a key role in gene silencing processes;  particularly relating to the piRNA pathway which is essential for transposon silencing and genome stability.',PID-1;  TOFU-6;  ERH-2;  IFE-3,pid-1;  tofu-6;  erh-2;  ife-3',0.925,"Q19541; Q09293; Q20057; 	
O61955"
zero-shot,"PETISCO, tost-1 variant",Caenorhabditis Elegans,The PETISCO complex is also found in humans and mice.,The PETISCO complex is involved in RNA regulation and processing;  specifically in the biogenesis of small RNAs that play a critical role in RNA interference. The tost-1 variant specifically refers to a form of this complex observed in certain genetic studies.,TOFU-6;  ERI-1;  TOST-1;  SACY-1.,The corresponding genes for these proteins are tofu-6;  eri-1;  tost-1;  and sacy-1 respectively.,0.925,Q09293; O44406; Q18490; Q9N5K1
few-shot,"PETISCO, tost-1 variant",Caenorhabditis Elegans,N/A',PETISCO is involved in the maturation of small nucleolar RNAs (snoRNAs) and small nuclear RNAs (snRNAs);  playing a critical role in pre-mRNA splicing and RNA interference pathways.',TOFU-6;  PID-3;  ERH-2;  SMN-1;  TOFU-5,tofu-6;  pid-3;  erh-2;  smn-1;  tofu-5',0.9125,Q09293; O76616; Q20057; G5EFQ8; Q23096
contextual,"PETISCO, tost-1 variant",Caenorhabditis Elegans,Drosophila melanogaster,The PETISCO complex is a protein assembly involved in the processing of small nuclear RNAs;  playing a crucial role in the biogenesis of spliceosomal small nuclear ribonucleoproteins (snRNPs);  thereby impacting the regulation of pre-mRNA splicing.,TOAST-1;  ERH-2;  ICL-1;  SMN-1,tost-1;  erh-2;  icl-1;  smn-1,0.8975,Not Found; Q20057; Q10663; G5EFQ8
zero-shot,Ndc80 complex,Saccharomyces cerevisiae,The Ndc80 complex is also found in Humans (Homo sapiens);  Mice (Mus musculus);  Caenorhabditis elegans;  and Drosophila melanogaster.,The Ndc80 complex is critical for the accurate segregation of chromosomes during mitosis. It acts as a key component of the kinetochore;  a structure on chromosomes where spindle fibers attach during cell division to ensure accurate chromosome alignment and separation.,Ndc80;  Nuf2;  Spc24;  Spc25,The corresponding genes for these proteins in Saccharomyces cerevisiae are NDC80 (Ndc80p);  NUF2 (Nuf2p);  SPC24 (Spc24p);  and SPC25 (Spc25p).,0.97,"	
P40460; C7GK36; Q04477; C7GKJ6"
few-shot,Ndc80 complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster',A key component of the kinetochore;  crucial for chromosome segregation during cell division by mediating the attachment of microtubules to kinetochores.',Ndc80;  Nuf2;  Spc24;  Spc25,NDC80;  NUF2;  SPC24;  SPC25',0.955,"	
P40460; C7GK36; Q04477; C7GKJ6"
contextual,Ndc80 complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The Ndc80 complex is a key kinetochore component involved in the attachment of spindle microtubules to chromosomes during mitosis;  ensuring proper chromosome segregation.,Ndc80;  Nuf2;  Spc24; Spc25,NDC80;  NUF2;  SPC24;  SPC25,0.955,"	
P40460; C7GK36; Q04477; C7GKJ6"
zero-shot,Kinetochore Mis12 complex,Homo Sapiens,Mouse;  Saccharomyces cerevisiae;  Drosophila melanogaster;  C. elegans,The Mis12 complex is integral to the kinetochore;  a protein structure on chromatids where the spindle fibers attach during cell division to pull the chromatids apart. In humans;  the Mis12 complex is essential for accurate chromosome segregation and proper kinetochore assembly. It plays a critical role in linking the inner centromere to the outer kinetochore components and microtubules.,MIS12;  PMF1;  NSL1;  and DSN1.,MIS12: Encodes the MIS12 protein; PMF1: Encodes the PMF1 protein; NSL1: Encodes the NSL1 protein; DSN1: Encodes the DSN1 protein,1,Q9H081; A0A087WT04; Q96IY1; Q4G1A1
few-shot,Kinetochore Mis12 complex,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The Mis12 complex is essential for the proper attachment of microtubules to the kinetochore;  ensuring accurate chromosome segregation during cell division.,MIS12 protein homolog;  Kinetochore associated protein 1;  Kinetochore scaffold 1;  NNF1 homolog,MIS12;  DSN1;  NSL1;  PMF1,0.925,Q9H081; B4DDZ9; A0A0G2JL96; Not Found
contextual,Kinetochore Mis12 complex,Homo Sapiens,Mouse;  Drosophila melanogaster;  Caenorhabditis elegans;  Saccharomyces cerevisiae',This complex is essential for proper kinetochore-microtubule attachment;  playing a critical role in chromosome segregation during cell division by serving as a platform for the assembly of other kinetochore components.',MIS12;  NSL1;  DSN1;  PMF1',MIS12;  NSL1;  DSN1;  PMF1',0.94,Q9H081; Q96IY1; Q4G1A1; A0A087WT04
zero-shot,THO complex,Saccharomyces cerevisiae,Human;  Drosophila melanogaster;  Mouse,The THO complex is primarily involved in transcription elongation and mRNA processing. It plays a critical role in coupling transcription to mRNA export by forming part of the larger TREX (transcription-export) complex.,Hpr1;  Mft1;  Tho2;  Thp2;  Tex1,HPR1 (YDR138W);  MFT1 (YLR274W);  THO2 (YDL075W);  THP2 (YMR288W);  TEX1 (YIR013C),0.97,B3LGE1; P33441; C7GKA8; O13539; A0A6C1DYB8
few-shot,THO complex,Saccharomyces cerevisiae,Human;  Drosophila melanogaster,The THO complex is involved in the transcriptional elongation and mRNA export processes. It is crucial for proper mRNA metabolism and genomic stability.,Hpr1;  Mft1;  Thp2;  Tex1;  Tho2,HPR1;  MFT1;  THP2;  TEX1;  THO2,0.97,B3LGE1; P33441; O13539; A0A6C1DYB8; C7GKA8
contextual,THO complex,Saccharomyces cerevisiae,Human;  Drosophila melanogaster;  Mouse',The THO complex is involved in the coupling of transcription and mRNA export. It plays a critical role in genome stability and the regulation of splicing.',Hpr1;  Mft1;  Thp2;  Tex1;  Tho2,HPR1;  MFT1;  THP2;  TEX1;  THO2',0.925,"B3LGE1; P33441; O13539; A0A6C1DYB8; 	
P53552"
zero-shot,Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2,Saccharomyces cerevisiae,None,This complex is involved in the endosomal transport process;  mediating the fusion of vesicles with target membranes;  specifically in sorting and trafficking within the endosomal system.,TLG2;  VTI1;  TLG1;  SNC2,TLG2 (TLG2 gene); VTI1 (VTI1 gene); TLG1 (TLG1 gene); SNC2 (SNC2 gene),0.97,A6ZY64; B3LM85; Q03322; A6ZPF9
few-shot,Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2,Saccharomyces cerevisiae,,Involved in the regulation of vesicular trafficking processes within the cell;  particularly in endosomal and vacuolar fusion.,Tlg2;  Vti1;  Tlg1;  Snc2,TLG2;  VTI1;  TLG1;  SNC2,0.925,"Q08114; 	
Q04338; Q03322;P33328"
contextual,Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2,Saccharomyces cerevisiae,N/A',This SNARE complex is involved in vesicle-mediated transport. It facilitates the fusion of vesicles with target membranes within the endosomal system;  playing a crucial role in membrane trafficking processes.',TLG2;  VTI1;  TLG1;  SNC2,TLG2;  VTI1;  TLG1;  SNC2',0.925,"Q08114; 	
Q04338; Q03322;P33328"
zero-shot,Ste12/Dig1/Dig2 transcription regulation complex,Saccharomyces cerevisiae,The Ste12/Dig1/Dig2 transcription regulation complex is specific to Saccharomyces cerevisiae and does not have homologous complexes reported in Humans;  Mouse;  C. elegans;  or Drosophila melanogaster.,The Ste12/Dig1/Dig2 transcription regulation complex is involved in the regulation of gene expression related to mating and invasive growth pathways in response to external signals in Saccharomyces cerevisiae. This complex functions predominantly by modulating the activity of the transcription factor Ste12;  which plays a critical role in the mating pheromone response pathway. Dig1 and Dig2 act as negative regulators by binding to Ste12 and inhibiting its activity in the absence of pheromone signaling.,Ste12;  Dig1;  Dig2,STE12;  DIG1;  DIG2,1,B3LSK1; C7GU05; Q03373
few-shot,Ste12/Dig1/Dig2 transcription regulation complex,Saccharomyces cerevisiae,,Regulates transcription of pheromone-responsive genes;  primarily involved in the mating response pathway.,Ste12;  Dig1;  Dig2,STE12;  DIG1;  DIG2,0.9125,B3LSK1; C7GU05; Q03373
contextual,Ste12/Dig1/Dig2 transcription regulation complex,Saccharomyces cerevisiae,N/A',This complex is involved in transcription regulation;  specifically as a key component in the pheromone response pathway and filamentous growth in yeast. It controls the transcription of genes essential for mating and filamentation by modulating transcription factor activity.',Ste12;  Dig1;  Dig2,STE12;  DIG1;  DIG2',0.925,B3LSK1; C7GU05; Q03373
zero-shot,TRAPP II complex,Saccharomyces cerevisiae,Human;  Mouse,The TRAPP II complex is involved in the regulation of vesicle trafficking specifically in the Golgi apparatus;  where it facilitates the trafficking of vesicles from the early endosome to the late Golgi compartments. It is crucial for Golgi membrane dynamics and protein glycosylation processes.,Trs33;  Trs85;  Trs120;  Trs130;  Bet5;  Bet3;  Trs31;  Trs23,The corresponding genes for these proteins in Saccharomyces cerevisiae are TRS33;  TRS85;  TRS120;  TRS130;  BET5;  BET3;  TRS31;  and TRS23.,0.94,C7GMM1; P46944; C7GSB7; A6ZMT0; Q03630; C7GX71; A0A6C1E451; Q03784
few-shot,TRAPP II complex,Saccharomyces cerevisiae,Human;  Mouse,TRAPP II complex is involved in tethering transport vesicles to the Golgi apparatus;  playing a critical role in vesicular trafficking within cells.,Trs120;  Trs130;  Trs85;  Trs65;  Trs33;  Trs31;  Trs23;  Trs20;  Bet5,TRS120;  TRS130;  TRS85;  TRS65;  TRS33;  TRS31;  TRS23;  TRS20;  BET5,0.8975,C7GSB7; A6ZMT0; P46944; P32893; C7GMM1; A0A6C1E451; C7GTI1; C7GMX7; Q03630
contextual,TRAPP II complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster,The TRAPP II complex is involved in tethering transport vesicles to the Golgi apparatus;  playing a critical role in membrane trafficking. It specifically facilitates intra-Golgi transport and endosome-to-Golgi trafficking;  acting as a guanine nucleotide exchange factor (GEF) for Rab GTPases.,Trs130;  Trs120;  Trs65;  Trs33;  Trs31;  Bet3;  Bet5;  Trs23;  Trs20;  Trs85,TRS130;  TRS120;  TRS65;  TRS33;  TRS31;  BET3;  BET5;  TRS23;  TRS20;  TRS85,0.925,A6ZMT0; C7GSB7; P32893; C7GMM1; A0A6C1E451; C7GX71; Q03630; C7GTI1; C7GMX7; P46944
zero-shot,CCM complex ,Homo Sapiens,Mouse,The CCM complex is primarily involved in maintaining the integrity of blood vessels;  particularly in the brain. It regulates endothelial cell junctions;  vascular integrity;  and angiogenesis. Mutations in components of this complex can lead to cerebral cavernous malformations;  which are vascular anomalies in the central nervous system.,KRIT1;  CCM2;  CCM3,KRIT1 is encoded by the KRIT1 gene.; CCM2 is encoded by the CCM2 gene.; CCM3 is encoded by the PDCD10 gene.,1,A0A8I5KRK7; Q6P456; Q9BUL8
few-shot,CCM complex ,Homo Sapiens,Mouse,The CCM complex;  or cerebral cavernous malformations complex;  plays a critical role in maintaining vascular integrity in the brain and preventing the formation of vascular malformations.,KRIT1;  CCM2;  Programmed cell death protein 10,KRIT1;  CCM2;  PDCD10,0.94,A0A8I5KRK7; Q6P456; Q9BUL8
contextual,CCM complex ,Homo Sapiens,Mouse;  Drosophila melanogaster',The Cerebral Cavernous Malformation (CCM) complex plays a crucial role in maintaining endothelial cell-cell junctions and vascular integrity.',CCM1;  CCM2;  CCM3,KRIT1;  CCM2;  PDCD10',0.9125,O00522; Q6P456; Q9BUL8
zero-shot,mu-Calpain complex,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster,The mu-Calpain complex is a calcium-dependent cysteine protease involved in various cellular processes;  including cytoskeletal remodeling;  signal transduction;  and apoptosis. It plays a critical role in processes such as muscle function;  cell motility;  and cell cycle progression., calpain-1;  calpain small subunit 1.,The large catalytic subunit (calpain-1) is encoded by the gene CAPN1.; The small regulatory subunit (calpain small subunit 1) is encoded by the gene CAPNS1.,0.9475,E9PIA9; K7EM73
few-shot,mu-Calpain complex,Homo Sapiens,Mouse;  Drosophila melanogaster',mu-Calpain is a calcium-dependent cysteine protease involved in a variety of cellular processes;  including cytoskeletal remodeling;  cell cycle progression;  and signal transduction.',Calpain-1 catalytic subunit;  Calpain-1 regulatory subunit,CAPN1;  CAPNS1',0.925,B4DWH5; P07384
contextual,mu-Calpain complex,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster',mu-Calpain is a calcium-dependent cysteine protease involved in remodeling the cytoskeleton and processing various cellular substrates. It plays roles in cellular motility;  signal transduction;  and apoptosis.',Calpain-1 catalytic subunit;  Calpain small subunit 1',CAPN1;  CAPNS1',0.925,B4DWH5; K7EM73
zero-shot,GINS complex,Saccharomyces cerevisiae,Humans;  Mouse;  C. elegans;  Drosophila melanogaster,The GINS complex is essential for the initiation and progression of DNA replication;  acting as a key component of the eukaryotic replicative helicase complex. It ensures the unwinding of DNA strands by facilitating the activity of DNA polymerase and other associated replication factors during the S phase of the cell cycle.,Psf1;  Psf2;  Psf3;  Sld5,PSF1 (YJL173C);  PSF2 (YER176W);  PSF3 (YMR032W);  SLD5 (YDR489W),0.985,A6ZXX8; A6ZPQ1; B5VRB6; C7GKS7
