Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score,Accession_Mapped
contextual,PHO85-PHO80 CDK-cyclin complex,Saccharomyces cerevisiae,N/A (This specific CDK-cyclin pair with the same functional roles is unique to yeast;  though homologs of PHO85 exist in other organisms),This complex functions as a cyclin-dependent kinase that regulates phosphate metabolism through the phosphorylation of the transcription factor Pho4. When phosphate levels are adequate;  the Pho85-Pho80 complex phosphorylates Pho4;  preventing its nuclear localization and inhibiting the expression of phosphate-responsive genes. The complex also has broader functions in cell cycle regulation;  glycogen metabolism;  and stress response pathways.,Cyclin-dependent kinase PHO85;  Cyclin PHO80,PHO85;  PHO80,0.955,"	Entry		Entry Name	Protein Names	Gene Names	Organism	Length
	
P17157; P20052"
zero-shot,DNA Polymerase Epsilon (Pol ε),Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,DNA Polymerase Epsilon is primarily responsible for the synthesis of the leading strand during DNA replication in eukaryotes. It possesses both DNA polymerase and 3'-5' exonuclease activities;  allowing for high-fidelity DNA synthesis with proofreading capability. Pol ε is essential for the initiation of DNA replication at origins and plays crucial roles in maintaining genomic stability;  DNA damage response;  and S-phase checkpoint activation.,Pol2; Dpb2; Dpb3; Dpb4,POL2 (YNL262W); DPB2 (YPR175W); DPB3 (YBR278W); DPB4 (YDR121W),0.955,A2NYC3; C7GP58; A6ZPQ7; A6ZY83
few-shot,DNA Polymerase Epsilon (Pol ε),Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,DNA polymerase epsilon is primarily responsible for the synthesis of the leading strand during DNA replication in eukaryotes. It possesses a 3'-5' proofreading exonuclease activity that ensures high fidelity of DNA replication. Pol ε also plays crucial roles in DNA damage response;  chromatin remodeling;  and epigenetic inheritance. In S. cerevisiae;  it is essential for the S phase checkpoint and for maintaining genome stability.,DNA polymerase epsilon catalytic subunit A; DNA polymerase epsilon subunit B; DNA polymerase epsilon subunit C; DNA polymerase epsilon subunit D,POL2; DPB2; DPB3; DPB4,0.9475,P21951; A6ZX50; A0A6C1E676; C7GIM9
contextual,DNA Polymerase Epsilon (Pol ε) Complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,DNA polymerase epsilon is the primary leading-strand polymerase during eukaryotic DNA replication. It possesses both DNA polymerase and 3'-5' exonuclease (proofreading) activities. Beyond DNA synthesis;  it plays critical roles in maintaining genomic integrity;  participating in DNA damage response;  and influencing cell cycle checkpoint activation. The complex is essential for the fidelity of DNA replication;  particularly in S phase.,DNA polymerase epsilon catalytic subunit A; DNA polymerase epsilon subunit B; DNA polymerase epsilon subunit C; DNA polymerase epsilon subunit D,POL2; DPB2; DPB3; DPB4,0.9475,P21951; A6ZX50; A0A6C1E676; C7GIM9
zero-shot,Conserved Oligomeric Golgi (COG) complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The COG complex is a peripheral membrane protein complex that primarily functions in retrograde vesicular trafficking within the Golgi apparatus. It mediates tethering of COPI-coated vesicles to Golgi membranes;  facilitates SNARE-mediated fusion events;  and maintains proper Golgi glycosylation. The complex also plays a crucial role in maintaining Golgi structure and ensuring proper protein sorting and glycosylation of cargo proteins.,COG1; COG2; COG3; COG4; COG5; COG6; COG7; COG8,COG1 (YGL223c); COG2 (YGR120c); COG3 (YER157w); COG4 (YPR105c); COG5 (YNL051w); COG6 (YNL041c); COG7 (YGL005c); COG8 (YML071c),0.8975,A6ZTW8; A6ZUD3; A6ZRB4; A6ZWY5; A6ZS27; C7GLV9; A6ZUY8; A6ZLZ4
few-shot,Golgi Transport Complex (COG Complex),Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The COG (Conserved Oligomeric Golgi) complex is essential for establishing and maintaining normal Golgi structure and function. It mediates retrograde vesicular trafficking within the Golgi apparatus and between the Golgi and endoplasmic reticulum. The complex tethers vesicles to target membranes;  facilitating SNARE-mediated fusion events. It plays a critical role in glycosylation by maintaining proper localization of glycosylation enzymes within the Golgi.,COG1; COG2; COG3; COG4; COG5; COG6; COG7; COG8,COG1; COG2; COG3; COG4; COG5; COG6; COG7; COG8,0.94,A6ZTW8; A6ZUD3; A6ZRB4; A6ZWY5; A6ZS27; C7GLV9; A6ZUY8; A6ZLZ4
contextual,COG (Conserved Oligomeric Golgi) complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The COG complex is an evolutionarily conserved multisubunit tethering complex that functions in retrograde vesicular trafficking within the Golgi apparatus. It mediates the tethering of vesicles carrying Golgi-resident proteins and glycosylation enzymes from late to early Golgi compartments;  ensuring proper glycosylation of proteins and lipids. The complex also interacts with SNARE proteins;  Rab GTPases;  and vesicle coat proteins to facilitate membrane fusion events.,Cog1;  Cog2;  Cog3;  Cog4;  Cog5;  Cog6;  Cog7;  Cog8,COG1;  COG2;  COG3;  COG4;  COG5;  COG6;  COG7;  COG8,0.9475,"P53079;	
P53271;	
P40094;	
Q06096;P53951;	
P53959;	
P53195;Q04632"
zero-shot,GPI-anchor transamidase complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The GPI-anchor transamidase complex catalyzes the attachment of glycosylphosphatidylinositol (GPI) anchors to proteins containing a C-terminal GPI signal sequence. The complex cleaves the signal peptide and transfers the nascent protein to a preformed GPI anchor in the endoplasmic reticulum membrane. This post-translational modification is essential for the cell surface expression of many eukaryotic proteins.,Gaa1p; Gpi8p; Gpi16p; Gpi17p; Gab1p,GAA1 (YLR088w); GPI8 (YDR331w); GPI16 (YHR188c); GPI17 (YDR434w); GAB1 (YLR459w),0.9475,C7GQR1; C7GWM8; C7GRL0; C7GTN8; C7GUD3
few-shot,GPI-anchor transamidase complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,This complex catalyzes the attachment of glycosylphosphatidylinositol (GPI) anchors to proteins containing a C-terminal GPI-attachment signal sequence. It cleaves the signal peptide and transfers the nascent protein to a preassembled GPI anchor in the endoplasmic reticulum membrane;  which allows the protein to attach to the cell surface.,GPI transamidase component GAA1;  GPI transamidase component GPI8;  GPI transamidase component PIG-S homolog;  GPI transamidase component PIG-T homolog;  GPI transamidase component GPI16,GAA1;  GPI8;  GPI17;  GPI16;  GPI13,0.8975,"P39012; 	
P38875; Not Found; Not Found; B3LSU9"
contextual,GPI-anchor transamidase complex,Homo Sapiens,Saccharomyces cerevisiae;  Mouse;  C. elegans;  Drosophila melanogaster,This complex catalyzes the attachment of glycosylphosphatidylinositol (GPI) anchors to proteins containing a C-terminal GPI-attachment signal sequence. The complex cleaves the signal peptide and transfers the protein to a preassembled GPI anchor in the endoplasmic reticulum membrane. This post-translational modification is essential for targeting certain proteins to the cell surface where they are attached to the outer leaflet of the plasma membrane.,PIGT; PIGK; PIGU; PIGS; GPAA1,PIGT; PIGK; PIGU; PIGS; GPAA1,0.94,A0A1W2PPC3; A6NEM5; Q9H490; Q96IR5; B2R6X8
zero-shot,Glycosylphosphatidylinositol-mannosyltransferase I Complex (GPI-MT-I),Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The GPI-MT-I complex catalyzes the first mannosylation step in glycosylphosphatidylinositol (GPI) anchor biosynthesis. It specifically transfers the first mannose residue from dolichol-phosphate-mannose to phosphatidylinositol-glucosamine in the GPI anchor precursor. This is a critical early step in the GPI biosynthetic pathway that occurs on the cytoplasmic side of the endoplasmic reticulum.,Gpi14; Pga1,GPI14 (YJR013W); PGA1 (YNL158W),0.91,P47088; P53896
few-shot,Glycosylphosphatidylinositol-mannosyltransferase I complex,Saccharomyces cerevisiae,Human;  Mouse,Catalyzes the transfer of the first mannose residue to the glycosylphosphatidylinositol (GPI) anchor precursor. This is a critical step in GPI anchor biosynthesis;  which is essential for the attachment of many proteins to the cell surface.,Glycosylphosphatidylinositol-mannosyltransferase I;  GPI mannosyltransferase 1 subunit,GPI14;  PIG-M;  GPI14,0.9125,"	
P47088; 	
P53896"
contextual,Glycosylphosphatidylinositol-mannosyltransferase I Complex (GPI-MT-I),Saccharomyces cerevisiae,Human,This complex catalyzes the first mannosylation step in glycosylphosphatidylinositol (GPI) anchor biosynthesis. It transfers the first mannose residue from dolichol-phosphate-mannose to phosphatidylinositol glucosamine in the endoplasmic reticulum membrane;  which is a critical step in the synthesis of GPI anchors that tether proteins to the cell surface.,GPI-mannosyltransferase I subunit,GPI14; PBN1; GPI2; GPI1,0.9475,"	
P53896"
zero-shot,Dsl1 tethering complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  Caenorhabditis elegans,The Dsl1 complex functions as a vesicle tethering complex that mediates the retrograde transport of COPI-coated vesicles from the Golgi apparatus to the endoplasmic reticulum (ER). It captures COPI vesicles through direct interaction with coat proteins and facilitates their subsequent fusion with the ER membrane by engaging the ER SNARE proteins. The complex serves as a structural bridge between the incoming vesicles and the target membrane;  ensuring accurate targeting and efficient membrane fusion.,Dsl1; Tip20; Sec39/Dsl3,DSL1; TIP20; SEC39/DSL3,0.955,"P53847; P33891; 	
Q12745"
few-shot,Dsl1 tethering complex,Saccharomyces cerevisiae,N/A (The complex components differ significantly in structure and nomenclature in the other organisms listed),The Dsl1 complex functions as a tethering factor at the endoplasmic reticulum (ER);  mediating the capture of COPI vesicles arriving from the Golgi apparatus. It facilitates the retrograde transport pathway and promotes fusion of these vesicles with the ER membrane by interacting with ER-localized SNARE proteins and COPI coat components.,Dsl1p;  Tip20p;  Sec39p,DSL1;  TIP20;  SEC39 (DSL3),0.955,C7GPA3; C7GPQ8; C7GSL5
contextual,Dsl1 tethering complex,Saccharomyces cerevisiae,N/A (The complex exists in other fungi but not in the other four organisms mentioned),The Dsl1 complex functions as a multisubunit tethering complex that mediates the retrograde trafficking of vesicles from the Golgi apparatus to the endoplasmic reticulum (ER). It captures coat protein I (COPI) vesicles at the ER membrane and facilitates their subsequent fusion with the ER through interactions with ER-localized SNARE proteins. The complex acts as a physical bridge between incoming COPI-coated vesicles and the ER membrane target.,Dsl1p; Sec39p; Tip20p,DSL1; SEC39 (DSL3); TIP20,0.955,C7GPA3; C7GSL5; C7GPQ8
zero-shot,AP-1 adaptor complex (Adaptor Protein complex-1),Homo Sapiens,Mouse (Mus musculus);  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The AP-1 adaptor complex mediates the formation of clathrin-coated vesicles at the trans-Golgi network (TGN) and endosomes. It functions in protein sorting and trafficking between the TGN and endosomes;  particularly in the transport of mannose-6-phosphate receptors and their cargo proteins to lysosomes. AP-1 recognizes tyrosine and dileucine-based sorting signals in the cytoplasmic tails of cargo proteins;  facilitating their selective incorporation into clathrin-coated vesicles.,AP-1 complex subunit gamma-1; AP-1 complex subunit beta-1; AP-1 complex subunit mu-1; AP-1 complex subunit sigma-1A,AP1G1; AP1B1; AP1M1; AP1S1,0.895,B3KNW1; Q96EL6; K7EJL1; P61966
few-shot,AP-1 Adaptor Complex (HA1;  Clathrin Adaptor),Homo Sapiens,Mouse;  Drosophila melanogaster;  C. elegans;  Saccharomyces cerevisiae,AP-1 mediates protein sorting in the late secretory and endocytic pathways. It facilitates the formation of clathrin-coated vesicles at the trans-Golgi network (TGN) and endosomes;  mediating bidirectional transport between these compartments. AP-1 is involved in mannose-6-phosphate receptor trafficking;  sorting of lysosomal hydrolases;  and basolateral sorting in polarized epithelial cells.,Adaptor protein complex subunit beta-1; Adaptor protein complex subunit gamma-1; Adaptor protein complex subunit mu-1; Adaptor protein complex subunit sigma-1A,AP1B1; AP1G1; AP1M1; AP1S1,0.8975,"	
Q9Y6B7; 	
O43747; O00189; 	
P61966"
contextual,AP-1 Adaptor Complex (HA1;  Heterotetrameric Adaptor Protein Complex 1),Homo Sapiens,Mouse;  Saccharomyces cerevisiae;  Drosophila melanogaster;  C. elegans,AP-1 is a key component of clathrin-coated vesicles that mediates the sorting of proteins between the trans-Golgi network (TGN) and endosomes. It recognizes tyrosine-based and dileucine-based sorting signals on cargo proteins;  facilitating their incorporation into clathrin-coated vesicles. AP-1 is particularly important for the biogenesis of lysosome-related organelles and plays a role in polarized sorting in epithelial cells.,AP-1 complex subunit gamma-1; AP-1 complex subunit beta-1; AP-1 complex subunit mu-1; AP-1 complex subunit sigma-1A,AP1G1 (gamma subunit); AP1B1 (beta-1 subunit); AP1M1 (mu-1 subunit); AP1S1 (sigma-1A subunit),0.94,B3KNW1; Q96EL6; K7EJL1; P61966
zero-shot,PAN1 actin cytoskeleton-regulatory complex,Saccharomyces cerevisiae,Not definitively characterized in human;  mouse;  C. elegans;  or Drosophila melanogaster;  though functional homologs of some components exist.,The PAN1 complex plays a central role in regulating the actin cytoskeleton during endocytosis in yeast. It functions as a crucial component of cortical actin patches where it serves as a scaffold for binding actin nucleation-promoting factors. The complex coordinates actin assembly at endocytic sites by linking the endocytic machinery with the actin cytoskeleton. It regulates the recruitment of the Arp2/3 complex through its interactions with End3p and Sla1p to promote actin polymerization;  which provides the force necessary for membrane invagination and vesicle scission during endocytosis.,Pan1; End3; Sla1,PAN1 (YIR006C); END3 (YNL084C); SLA1 (YBL007C),0.925,"	
P32521; P39013; 	
P32790"
few-shot,PAN1 actin cytoskeleton-regulatory complex,Saccharomyces cerevisiae,N/A (Not prominently found in Human;  Mouse;  C. elegans;  or Drosophila melanogaster),The PAN1 complex plays a central role in regulating actin cytoskeleton organization during endocytosis in yeast. It functions as a crucial adaptor that links cargo selection;  membrane invagination;  and actin polymerization during clathrin-mediated endocytosis. The complex coordinates the temporal and spatial assembly of endocytic proteins and promotes actin nucleation through activation of the Arp2/3 complex.,PAN1;  SLA1;  END3,PAN1;  SLA1;  END3,0.925,C7GJG6; C7GM55; B5VQV9
contextual,PAN1 actin cytoskeleton-regulatory complex,Saccharomyces cerevisiae,N/A (The PAN1 complex with this specific composition is unique to yeast),This complex plays a critical role in endocytosis and actin cytoskeleton organization in yeast. It functions as a scaffold that links the early and late stages of endocytosis by coordinating the recruitment and activity of actin polymerization machinery. The complex regulates the transition from the immobile to mobile phase of endocytic vesicle internalization through its interactions with Arp2/3 complex and activation of actin nucleation.,PAN1; END3; SLA1,PAN1; END3; SLA1,0.955,C7GJG6; B5VQV9; C7GM55
zero-shot,AMPK (AMP-activated protein kinase),Homo Sapiens,Mouse (Mus musculus);  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,AMPK is a critical cellular energy sensor that maintains energy homeostasis. When cellular energy levels are low (high AMP:ATP ratio);  AMPK is activated and promotes catabolic pathways that generate ATP while inhibiting anabolic pathways that consume ATP. It regulates metabolic processes including glucose uptake;  fatty acid oxidation;  mitochondrial biogenesis;  autophagy;  and protein synthesis. AMPK also plays roles in cell growth;  cell polarity;  and circadian rhythm regulation;  serving as a nexus connecting metabolism to multiple cellular functions., α catalytic subunit; β regulatory subunit; γ regulatory subunit,α subunits: PRKAA1 (α1);  PRKAA2 (α2); β subunits: PRKAB1 (β1);  PRKAB2 (β2); γ subunits: PRKAG1 (γ1);  PRKAG2 (γ2);  PRKAG3 (γ3),0.9475,P09884; P31321; Q14994
few-shot,AMPK (AMP-activated protein kinase) complex,Homo Sapiens,Mouse;  Drosophila melanogaster;  C. elegans;  Saccharomyces cerevisiae,AMPK is a heterotrimeric serine/threonine protein kinase that acts as a cellular energy sensor. It is activated by increased AMP:ATP ratio and responds to metabolic stress by promoting catabolic pathways that generate ATP while inhibiting anabolic pathways that consume ATP. AMPK regulates glucose and lipid metabolism;  autophagy;  mitochondrial homeostasis;  and cell growth through phosphorylation of key metabolic enzymes and signaling proteins.,AMPK catalytic subunit alpha; AMPK regulatory subunit beta; AMPK regulatory subunit gamma,PRKAA1;  PRKAA2 (α-subunits); PRKAB1;  PRKAB2 (β-subunits); PRKAG1;  PRKAG2;  PRKAG3 (γ-subunits),0.955,P54646; P54646; P54646
contextual,AMPK (AMP-activated protein kinase) complex,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The AMPK complex is a crucial cellular energy sensor that maintains energy homeostasis. It is activated under energy stress conditions (high AMP/ATP ratio) and regulates various metabolic pathways to restore energy balance. AMPK inhibits anabolic processes (consuming ATP) such as protein;  fatty acid;  and cholesterol synthesis while activating catabolic pathways (generating ATP) like glucose uptake;  glycolysis;  fatty acid oxidation;  and mitochondrial biogenesis.,AMPK catalytic subunit alpha-1 or alpha-2; AMPK regulatory subunit beta-1 or beta-2; AMPK regulatory subunit gamma-1;  gamma-2;  or gamma-3,PRKAA1;  PRKAA2 (catalytic α subunits); PRKAB1;  PRKAB2 (regulatory β subunits); PRKAG1;  PRKAG2;  PRKAG3 (regulatory γ subunits),0.9575,P54646; Q9Y478; P54646; Q9UBF2; Q8IZZ6
zero-shot,Augmin complex (also known as HAUS complex in humans),Drosophila Melanogaster,Human;  Mouse;  C. elegans,The Augmin complex functions as a critical microtubule nucleator during mitosis;  particularly for spindle assembly. It recruits γ-tubulin ring complex (γ-TuRC) to preexisting microtubules;  facilitating microtubule-dependent microtubule nucleation. This enables the amplification of spindle microtubules and ensures proper chromosome segregation during cell division. The complex is essential for maintaining spindle integrity and density during mitosis.,Dgt2; Dgt3; Dgt4; Dgt5; Dgt6; Wac; Msd1; Msd5,dgt2 (CG16833); dgt3 (CG3221); dgt4 (CG17961); dgt5 (CG8902); dgt6 (CG13879); wac (CG13879); msd1 (CG25714); msd5 (CG14286),0.2345,Q9VKD6; Q9W2P0; Q9W4M8; Q7K4B4; Q9VAP2; Q9W0S8; Q9W0G7; Q9W0G6
few-shot,Augmin complex,Drosophila Melanogaster,Human;  C. elegans,The Augmin complex plays a critical role in microtubule-dependent microtubule generation during mitosis. It recruits γ-tubulin ring complex (γ-TuRC) to pre-existing spindle microtubules;  allowing for the nucleation of new microtubules. This amplification of spindle microtubules is essential for proper spindle assembly;  kinetochore fiber formation;  and chromosome segregation during cell division.,Msd1;  Msd2/Dgt1;  Msd3/Dgt3;  Msd4/Dgt4;  Msd5/Dgt5;  Wac/Dgt2;  Dgt6;  Dgt7;  HAUS8/Dgt8,msd1;  msd2/dgt1;  msd3/dgt3;  msd4/dgt4;  msd5/dgt5;  wac/dgt2;  dgt6;  dgt7;  haus8/dgt8,0.9125,Q9W0G7; Not Found; Q9W2P0; Q9W4M8; Q9W0G6; Q9W0S8; Q9VAP2; Q9W0G6; Not Found
contextual,Augmin complex,Drosophila Melanogaster,Human;  C. elegans,The Augmin complex is a microtubule-binding protein complex that mediates microtubule-templated microtubule nucleation during mitosis. It recruits γ-tubulin ring complex (γ-TuRC) to pre-existing microtubules;  allowing for the formation of new microtubules at a branching angle from parent microtubules. This activity is essential for increasing microtubule density within the mitotic spindle;  proper spindle assembly;  and chromosome segregation during cell division.,Msd1; Msd2; Msd3; Msd4; Msd5; Wac; Dgt3; Dgt4; Dgt5; Dgt6,msd1; msd2; msd3; msd4; msd5; wac; dgt3; dgt4; dgt5; dgt6,0.9125,Q9W0G7; Not Found; Q9W2P0; Q9W4M8; Q9W0G6; Q9W0S8; Q9W2P0; Q9W4M8; Q7K4B4; Q9VAP2
zero-shot,Myb-MuvB (MMB) transcriptional activation complex,Drosophila Melanogaster,Human;  Mouse;  C. elegans,The MMB complex functions as a transcriptional activator that regulates the expression of genes required for cell cycle progression;  particularly those involved in the G2/M phase transition. It binds to specific DNA elements called cell cycle genes homology regions (CHRs) in the promoters of target genes. The complex is specifically involved in the activation of genes required for mitosis and cytokinesis;  playing a crucial role in cell proliferation. In Drosophila melanogaster;  the MMB complex is particularly important for coordinating the expression of genes required for proper mitotic progression.,Myb; Mip130; Mip120; Mip40; p55/CAF1; E2F2; DP,Myb (myb); mip130 (lin-9); mip120 (lin-54); mip40; Caf1 (p55); E2f2; DP (Dp),0.2235,P04197; Q9W542; E1JH59; Q7K159; Q24572; O77051; Q24318
few-shot,Myb-MuvB (MMB) transcriptional activation complex,Homo Sapiens,Drosophila melanogaster;  C. elegans,The MMB complex functions as a transcriptional activator that regulates the expression of genes required for G2/M phase transition and mitosis. It specifically binds to cell cycle homology region (CHR) elements in the promoters of G2/M genes and activates their expression during the late S phase and G2 phase of the cell cycle.,B-MYB;  LIN9;  LIN37;  LIN52;  LIN54;  RBBP4,MYBL2;  LIN9;  LIN37;  LIN52;  LIN54;  RBBP4,0.9175,P10244; Q6P142; Q96GY3; Q52LA3; D6REW4; B4DRT0
contextual,Myb-MuvB Transcriptional Activation Complex (MMB-CAC),Homo Sapiens,Drosophila melanogaster,The MMB complex functions as a critical transcriptional activator that regulates cell cycle-dependent gene expression;  particularly during the G2/M phase. It binds to specific promoter elements of genes involved in mitosis;  cytokinesis;  and DNA replication;  activating their expression. This complex specifically recognizes the conserved CHR (cell cycle genes homology region) motifs in target gene promoters;  facilitating proper cell cycle progression.,B-MYB; LIN9; LIN37; LIN52; LIN54; RBBP4,MYBL2 (for B-MYB); LIN9; LIN37; LIN52; LIN54; RBBP4,0.8975,P10244; Q6P142; Q96GY3; Q52LA3; D6REW4; B4DRT0
zero-shot,Class C core vacuole/endosome tethering (CORVET) complex,Saccharomyces cerevisiae,Homo sapiens;  Mus musculus;  Caenorhabditis elegans;  Drosophila melanogaster,CORVET functions as an endosomal tethering complex that mediates the fusion of early endosomal membranes. It is essential for protein sorting in the endosomal pathway and facilitates the transition from early to late endosomes. CORVET acts as a Rab5-effector that tethers membranes and primes them for fusion events;  working upstream of SNARE proteins in vesicle fusion. The complex plays a critical role in vacuolar protein sorting and endosomal maturation.,Vps3; Vps8; Vps11; Vps16; Vps18; Vps33,VPS3; VPS8; VPS11; VPS16; VPS18; VPS33,0.955,B3LFH2; B3LUU1; P12868; C7GU09; P27801; A0A6C1DP95
few-shot,CORVET tethering complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The CORVET (class C core vacuole/endosome tethering) complex is an early endosomal tethering complex that mediates the fusion of vesicles at the early endosome. It functions in the tethering and fusion of endocytic vesicles to early endosomes and participates in endosome maturation. CORVET promotes membrane tethering;  docking;  and fusion events through interactions with Rab GTPases (specifically Vps21/Rab5) and SNARE proteins.,Vps3;  Vps8;  Vps11;  Vps16;  Vps18;  Vps33,VPS3;  VPS8;  VPS11;  VPS16;  VPS18;  VPS33,0.955,B3LFH2; B3LUU1; P12868; C7GU09; P27801; A0A6C1DP95
contextual,CORVET (Class C core vacuole/endosome tethering) complex,Saccharomyces cerevisiae,Human;  Drosophila melanogaster;  C. elegans,The CORVET complex functions as a tethering factor at the early endosome-to-late endosome transition. It mediates the initial contact between transport vesicles and the target membrane;  facilitating subsequent fusion events. CORVET is involved in the maturation of early endosomes;  promotes homotypic fusion of early endosomes;  and participates in the conversion of early endosomes to late endosomes.,Vacuolar protein sorting-associated protein 3; Vacuolar protein sorting-associated protein 8; Vacuolar protein sorting-associated protein 11; Vacuolar protein sorting-associated protein 16; Vacuolar protein sorting-associated protein 18; Vacuolar protein sorting-associated protein 33,VPS3; VPS8; VPS11; VPS16; VPS18; VPS33,0.955,A0A6C1DQX8; A0A6C1E3V8; P12868; C7GU09; P27801; A0A6C1DWR9
zero-shot,Sodium Leak Channel Non-Selective (NALCN) Complex,Homo Sapiens,Mouse (Mus musculus);  C. elegans;  Drosophila melanogaster,The NALCN complex forms a voltage-independent;  non-selective cation channel that conducts Na⁺;  K⁺;  and Ca²⁺ ions. It generates background sodium leak currents that contribute to the resting membrane potential and neuronal excitability in neurons. This complex plays crucial roles in rhythmic behaviors including respiration and locomotion;  circadian rhythm regulation;  and pain perception.,NALCN; UNC80; UNC79; FAM155A/B,NALCN; UNC80; UNC79; FAM155A;  FAM155B,0.9125,"A0A1D8QAD2; A0A669KAW8; A0A8Q3SHI5; 	
B1AL88"
few-shot,Sodium leak channel complex,Drosophila Melanogaster,Human;  C. elegans;  Mouse,Voltage-gated ion channel responsible for the depolarizing sodium (Na+) leak currents that determine resting Na+ permeability and control neuronal excitability. Functions downstream of the molecular circadian clock in pacemaker neurons to promote behavioral rhythmicity. Also plays roles in locomotor activity;  sensitivity to anesthetics;  and sleep regulation.,Narrow abdomen isoform F;  Protein unc-80 homolog;  Uncoordinated 79 isoform B,na;  unc80;  unc79,0.925,A8JUW5; Q9VB11; E1JIP9
contextual,Sodium leak channel complex,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster,This voltage-independent ion channel complex mediates background sodium leak currents that contribute to the resting membrane potential and excitability of neurons. In mammals;  it plays critical roles in neuronal excitability;  rhythmic behaviors;  locomotion;  and sensitivity to volatile anesthetics.,Sodium leak channel non-selective protein;  UNC80 protein;  UNC79 protein;  FAM155A,NALCN;  UNC80;  UNC79;  FAM155A,0.8975,Q8IZF0; A0A669KAW8; Q9P2D8; B1AL88
zero-shot,ATG1 protein kinase complex (also known as ULK1 complex in mammals),Saccharomyces cerevisiae,Human (ULK1/ULK2 complex); Mouse (ULK1/ULK2 complex); C. elegans (UNC-51 complex); Drosophila melanogaster (Atg1 complex),The ATG1 protein kinase complex is a key regulator of autophagy initiation in Saccharomyces cerevisiae. It integrates nutrient and stress signals to control the formation of the pre-autophagosomal structure (PAS). The complex transduces signals from upstream regulators like TOR kinase to the downstream autophagy machinery. When nutrients are limited;  the complex is activated through dephosphorylation of Atg1;  leading to increased kinase activity and autophagy induction. It recruits other Atg proteins to the PAS and is essential for both selective and non-selective autophagy pathways in yeast.,Atg1; Atg13; Atg17; Atg29; Atg31,ATG1; ATG13; ATG17; ATG29; ATG31,0.955,B5VIE9; C7GP67; A7A1U4; A6ZW87; Q12421
few-shot,ATG1 protein kinase complex,Saccharomyces cerevisiae,Human (ULK1 complex);  Mouse (Ulk1 complex);  Drosophila melanogaster (Atg1 complex);  C. elegans (UNC-51 complex),The ATG1 protein kinase complex is a central regulator of autophagy in yeast. It acts as a nutrient-responsive switch for autophagy induction;  integrating signals from the TOR (Target of Rapamycin) pathway. Upon nutrient starvation or TOR inhibition;  the complex becomes activated through conformational changes and hyperphosphorylation;  leading to the initiation of autophagosome formation at the pre-autophagosomal structure (PAS).,Atg1; Atg13; Atg17; Atg29; Atg31,ATG1; ATG13; ATG17; ATG29; ATG31,0.955,B5VIE9; C7GP67; A7A1U4; A6ZW87; Q12421
contextual,ATG1 protein kinase complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The ATG1 protein kinase complex is a key regulator of autophagy initiation in yeast. It functions as a nutrient-responsive molecular switch that integrates multiple signals to control autophagy. When activated under nutrient starvation conditions;  the complex phosphorylates downstream targets to initiate the formation of the pre-autophagosomal structure (PAS). Its kinase activity is essential for the recruitment of other autophagy-related proteins to the PAS;  which is the first step in autophagosome formation.,Autophagy-related protein 1; Autophagy-related protein 13; Autophagy-related protein 17; Autophagy-related protein 29; Autophagy-related protein 31,ATG1; ATG13; ATG17; ATG29; ATG31,0.9475,A6ZU07; B5VTW5; A7A1U4; B5VT04; Q12421
