Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score,Accession_Mapped
contextual,Golgi transport complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The Golgi transport complex (also known as the TRAPP complex;  Transport Protein Particle) acts as a vesicle-tethering factor essential for ER-to-Golgi and intra-Golgi trafficking. It plays a critical role in vesicle docking and fusion;  facilitating the correct delivery of proteins and lipids through the Golgi apparatus.,Bet3p;  Bet5p;  Trs20p;  Trs23p;  Trs31p;  Trs33p;  Trs65p;  Trs85p;  Trs120p;  Trs130p,BET3;  BET5;  TRS20;  TRS23;  TRS31;  TRS33;  TRS65;  TRS85;  TRS120;  TRS130,0.9748,Not Found; Not Found; C7GMX7; Not Found; Not Found; C7GMM1; N1P5Z9; N1P870; C7GSB7; C7GRD3
zero-shot,GPI-anchor transamidase complex,Homo Sapiens,Mus musculus (Mouse);  Saccharomyces cerevisiae,Catalyzes the transfer of preassembled glycosylphosphatidylinositol (GPI) anchors to the carboxy-terminus of proteins containing a GPI-attachment signal;  a crucial step in GPI-anchored protein biosynthesis.,PIGK;  GPAA1;  PIGT;  PIGS;  PIGU,PIGK;  GPAA1;  PIGT;  PIGS;  PIGU,1,Not Found; B2R6X8; Not Found; Q96IR5; Not Found
few-shot,GPI-anchor transamidase complex,Homo Sapiens,Mouse;  Saccharomyces cerevisiae;  C. elegans;  Drosophila melanogaster,Catalyzes the post-translational attachment of glycosylphosphatidylinositol (GPI) anchors to the C-terminus of nascent proteins in the endoplasmic reticulum;  which is essential for anchoring proteins to the cell surface.,GPI transamidase subunit PIG-K;  GPI transamidase subunit GPAA1;  GPI transamidase subunit PIG-S;  GPI transamidase subunit PIG-T;  GPI transamidase subunit PIG-U,PIGK;  GPAA1;  PIGS;  PIGT;  PIGU,0.97,Not Found; Not Found; Not Found; Not Found; Not Found
contextual,GPI-anchor transamidase complex,Homo Sapiens,Mouse;  Saccharomyces cerevisiae;  Drosophila melanogaster;  C. elegans,Catalyzes the post-translational attachment of glycosylphosphatidylinositol (GPI) anchors to proteins;  a crucial step in the maturation and localization of many membrane-bound proteins in the secretory pathway.,GPI transamidase subunit PIG-K (GPI8);  GPI transamidase subunit PIG-S;  GPI transamidase subunit PIG-T;  GPI transamidase subunit PIG-U;  GPI transamidase subunit GPAA1,PIGK;  PIGS;  PIGT;  PIGU;  GPAA1,1,Not Found; Not Found; Not Found; Not Found; Not Found
zero-shot,Glycosylphosphatidylinositol-mannosyltransferase I (GPI-MT I) Complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,Catalyzes the transfer of the first mannose residue from dolichol-phosphate-mannose to glucosaminyl-phosphatidylinositol (GlcN-PI) during glycosylphosphatidylinositol (GPI) anchor biosynthesis. This is an essential step for the surface expression of GPI-anchored proteins.,Gpi14p;  Gpi18p,GPI14;  GPI18,1,Not Found; Not Found
few-shot,Glycosylphosphatidylinositol-mannosyltransferase I complex,Saccharomyces cerevisiae,Human;  Mouse,Catalyzes the first mannosylation step in the glycosylphosphatidylinositol (GPI) anchor biosynthesis pathway;  specifically transferring mannose from dolichol-phosphate-mannose to GlcN-acyl-PI;  an essential step in GPI-anchor formation in the endoplasmic reticulum.,Gpi14p;  Gpi15p;  Pbn1p;  Gpi19p,GPI14;  GPI15;  PBN1;  GPI19,1,Not Found; C7GLW2; Not Found; Not Found
contextual,Glycosylphosphatidylinositol-mannosyltransferase I complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans,Catalyzes the transfer of mannose from dolichol-phosphate-mannose to glycosylphosphatidylinositol (GPI) during the first mannosylation step in GPI-anchor biosynthesis.,Gpi14p;  Pbn1p,GPI14;  PBN1,0.97,Not Found; Not Found
zero-shot,Dsl1 tethering complex,Saccharomyces cerevisiae,Present in C. elegans;  Drosophila melanogaster;  Mouse;  and Human (homologs exist;  core functional studies established in S. cerevisiae).,The Dsl1 tethering complex mediates vesicle tethering at the endoplasmic reticulum (ER);  specifically facilitating retrograde transport of COPI-coated vesicles from the Golgi apparatus to the ER;  thereby ensuring proper sorting and recycling of ER-resident proteins.,Dsl1p;  Tip20p;  Sec39p,DSL1 (YDL125C);  TIP20 (YGL145W);  SEC39 (also known as Dsl3;  YMR077C),1,C7GPA3; C7GPQ8; C7GSL5
few-shot,Dsl1 tethering complex,Saccharomyces cerevisiae,Human;  Mouse,The Dsl1 complex mediates tethering of COPI-coated vesicles to the endoplasmic reticulum (ER) membrane before SNARE-mediated fusion;  facilitating retrograde vesicular transport from the Golgi to the ER.,Dsl1p;  Tip20p;  Sec39p (also known as Dsl3p),DSL1;  TIP20;  SEC39,1,C7GPA3; C7GPQ8; Not Found
contextual,Dsl1 tethering complex,Saccharomyces cerevisiae,C. elegans;  Drosophila melanogaster;  Human;  Mouse,The Dsl1 complex is a multisubunit tethering complex that mediates vesicle tethering at the endoplasmic reticulum (ER);  specifically promoting retrograde traffic from the Golgi to the ER in the secretory pathway. It plays a crucial role in SNARE complex assembly and vesicle docking prior to membrane fusion.,Dsl1p;  Tip20p;  Sec39p (also known as Dsl3p),DSL1;  TIP20;  SEC39,1,C7GPA3; C7GPQ8; Not Found
zero-shot,AP-1 adaptor complex (HA1;  HA1 clathrin adaptor),Homo Sapiens,Mus musculus (Mouse);  Drosophila melanogaster;  Saccharomyces cerevisiae;  Caenorhabditis elegans,The AP-1 adaptor complex mediates the formation of clathrin-coated vesicles at the trans-Golgi network and endosomes. It is crucial for sorting and trafficking of cargo proteins between the trans-Golgi network;  endosomes;  and sometimes the plasma membrane.,AP1G1 (gamma-1 adaptin subunit); AP1B1 (beta-1 adaptin subunit); AP1M1 (mu-1A adaptin subunit); AP1S1 (sigma-1A adaptin subunit); (Note: Neuronal isoforms may substitute some subunits—AP1G2;  AP1M2;  AP1S2—but core composition as listed),AP1G1; AP1B1; AP1M1; AP1S1,1,Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found
few-shot,AP-1 adaptor complex (HA1;  HA1 clathrin adaptor),Homo Sapiens,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae;  C. elegans,The AP-1 adaptor complex mediates the formation of clathrin-coated vesicles at the trans-Golgi network and endosomes;  facilitating the sorting of cargo proteins destined for various intracellular compartments.,Adaptor-related protein complex 1 beta 1 subunit (AP1B1);  Adaptor-related protein complex 1 gamma 1 subunit (AP1G1);  Adaptor-related protein complex 1 mu 1 subunit (AP1M1);  Adaptor-related protein complex 1 sigma 1 subunit (AP1S1),AP1B1;  AP1G1;  AP1M1;  AP1S1,0.979,Not Found; Not Found; Not Found; Not Found
contextual,AP-1 adaptor complex (HA1;  HA1 clathrin adaptor),Homo Sapiens,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae (analogous structures found in C. elegans),Mediates the recruitment of clathrin and selection of cargo proteins during vesicle formation at the trans-Golgi network and endosomes;  facilitating vesicular trafficking between these compartments.,AP-1 complex subunit gamma-1;  AP-1 complex subunit beta-1;  AP-1 complex subunit mu-1;  AP-1 complex subunit sigma-1A,AP1G1;  AP1B1;  AP1M1;  AP1S1,0.985,B3KNW1; Q96EL6; K7EJL1; P61966
zero-shot,PAN1 actin cytoskeleton-regulatory complex,Saccharomyces cerevisiae,This precise complex is not characterized in Human;  Mouse;  C. elegans;  or Drosophila melanogaster.,This complex is involved in endocytosis and actin cytoskeleton organization. Specifically;  it mediates the coupling of endocytic vesicle formation to actin polymerization;  a critical process for endocytic internalization and cell surface protein turnover.,Pan1;  End3;  Sla1,PAN1;  END3;  SLA1,0.985,C7GJG6; B5VQV9; C7GM55
few-shot,PAN1 actin cytoskeleton-regulatory complex,Saccharomyces cerevisiae,,Acts as a regulator of actin cytoskeleton organization;  playing a crucial role in endocytosis and cytoskeletal remodeling by linking actin dynamics to sites of endocytic vesicle formation.,Pan1p;  End3p;  Sla1p,PAN1;  END3;  SLA1,0.97,Not Found; Not Found; Not Found
contextual,PAN1 actin cytoskeleton-regulatory complex,Saccharomyces cerevisiae,,The PAN1 complex (also known as the Pan1p complex) is essential for actin cytoskeleton regulation;  endocytosis;  and membrane trafficking. It acts as a scaffold for actin nucleation-promoting factors during sites of endocytic vesicle formation;  coordinating the assembly and dynamics of actin filaments with membrane invagination.,Pan1p;  End3p;  Sla1p,PAN1;  END3;  SLA1,1,Not Found; Not Found; Not Found
zero-shot,AMP-activated protein kinase (AMPK) complex,Homo Sapiens,Mouse (Mus musculus);  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The AMPK complex is a master regulator of cellular energy homeostasis. It serves as a serine/threonine kinase that monitors cellular AMP/ATP and ADP/ATP ratios. Upon energy stress (e.g.;  low glucose;  hypoxia);  AMPK phosphorylates targets involved in inhibiting anabolic pathways and activating catabolic processes to restore energy balance. It plays significant roles in the regulation of lipid metabolism;  glucose uptake;  and autophagy.,AMPK α subunit (catalytic): PRKAA1 or PRKAA2; AMPK β subunit (scaffold): PRKAB1 or PRKAB2; AMPK γ subunit (regulatory): PRKAG1;  PRKAG2;  or PRKAG3,PRKAA1 (AMPK α1); PRKAA2 (AMPK α2); PRKAB1 (AMPK β1); PRKAB2 (AMPK β2); PRKAG1 (AMPK γ1); PRKAG2 (AMPK γ2); PRKAG3 (AMPK γ3),1,Not Found; Not Found; Not Found; L8E9N3; Not Found
few-shot,AMPK (AMP-activated protein kinase) complex,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,Cellular energy sensor;  it maintains energy homeostasis by activating catabolic pathways and inhibiting anabolic pathways in response to increased AMP/ATP ratio. Key regulator of glucose uptake;  lipid metabolism;  mitochondrial biogenesis;  and autophagy in response to energy stress.,5'-AMP-activated protein kinase catalytic subunit alpha-1 or alpha-2;  5'-AMP-activated protein kinase beta-1 or beta-2 subunit;  5'-AMP-activated protein kinase gamma-1;  gamma-2;  or gamma-3 subunit,PRKAA1;  PRKAA2 (alpha subunits);  PRKAB1;  PRKAB2 (beta subunits);  PRKAG1;  PRKAG2;  PRKAG3 (gamma subunits),1,Not Found; Not Found; Not Found; Q9UBF2; Not Found
contextual,AMPK complex,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,Serine/threonine kinase complex acting as a central energy sensor that regulates cellular energy homeostasis. Upon energy stress (increased AMP/ADP:ATP ratio);  AMPK is activated;  promoting catabolic pathways that generate ATP while inhibiting anabolic processes that consume ATP.,PRKAA1 (AMPK catalytic subunit alpha-1);  PRKAA2 (AMPK catalytic subunit alpha-2);  PRKAB1 (AMPK regulatory subunit beta-1);  PRKAB2 (AMPK regulatory subunit beta-2);  PRKAG1 (AMPK regulatory subunit gamma-1);  PRKAG2 (AMPK regulatory subunit gamma-2);  PRKAG3 (AMPK regulatory subunit gamma-3),PRKAA1;  PRKAA2;  PRKAB1;  PRKAB2;  PRKAG1;  PRKAG2;  PRKAG3,0.99,Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found
zero-shot,Augmin complex,Homo Sapiens,Mus musculus (Mouse);  Drosophila melanogaster;  Caenorhabditis elegans (component orthologs);  not described in Saccharomyces cerevisiae.,Essential for microtubule branching nucleation during mitosis;  it recruits the γ-tubulin ring complex (γ-TuRC) to preexisting spindle microtubules;  enabling acentrosomal microtubule generation critical for spindle assembly and chromosome segregation.,HAUS1; HAUS2; HAUS3; HAUS4; HAUS5; HAUS6; HAUS7; HAUS8 (also known as Hice1),HAUS1 (Gene: HAUS1); HAUS2 (Gene: HAUS2); HAUS3 (Gene: HAUS3); HAUS4 (Gene: HAUS4); HAUS5 (Gene: HAUS5); HAUS6 (Gene: HAUS6); HAUS7 (Gene: HAUS7); HAUS8 (Gene: HAUS8;  alias C14orf94 or HICE1),1,Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found
few-shot,Augmin complex,Homo Sapiens,Mouse;  Drosophila melanogaster,The Augmin complex plays a key role in microtubule branching during mitosis by recruiting the γ-tubulin ring complex (γ-TuRC) to pre-existing spindle microtubules;  promoting the formation of new microtubules critical for spindle assembly and stability.,HAUS1;  HAUS2;  HAUS3;  HAUS4;  HAUS5;  HAUS6;  HAUS7;  HAUS8,HAUS1;  HAUS2;  HAUS3;  HAUS4;  HAUS5;  HAUS6;  HAUS7;  HAUS8,0.979,Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found
contextual,Augmin complex,Homo Sapiens,Mouse;  Drosophila melanogaster;  C. elegans,The human Augmin complex is essential for mitotic spindle assembly. It recruits the γ-tubulin ring complex (γ-TuRC) to pre-existing spindle microtubules;  promoting branched microtubule nucleation crucial for efficient spindle microtubule amplification during mitosis.,HAUS1;  HAUS2;  HAUS3;  HAUS4;  HAUS5;  HAUS6;  HAUS7;  HAUS8,HAUS1;  HAUS2;  HAUS3;  HAUS4;  HAUS5;  HAUS6;  HAUS7;  HAUS8,0.97,Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found
zero-shot,Myb-MuvB transcriptional activation complex,Drosophila Melanogaster,Functionally analogous MuvB complexes;  sometimes associating with Myb (or Myb-like) proteins;  are present in Humans and Mouse. However;  the specific composition and direct Myb-MuvB transcriptional activation complex described here is most well-characterized in Drosophila melanogaster.,The Myb-MuvB transcriptional activation complex in Drosophila melanogaster is responsible for activating expression of genes required for entry into and progression through the cell cycle;  specifically during G2/M transition. The complex binds to the promoters of its target genes;  using the Myb protein as a sequence-specific DNA-binding factor;  and the MuvB core complex as a scaffold that recruits additional cofactors and modulates transcriptional activation.,Myb (Drosophila Myb;  also known as dMyb); Mip130 (homolog of Lin9); Mip120 (homolog of Lin54); Mip40; Caf1/p55; Lin52,Myb (gene: Myb); Mip130 (gene: mip130); Mip120 (gene: mip120); Mip40 (gene: mip40); Caf1/p55 (gene: Caf1-55); Lin52 (gene: lin52),1,Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found
few-shot,Myb-MuvB transcriptional activation complex,Homo Sapiens,Mouse,The Myb-MuvB transcriptional activation complex (also known as the MMB complex) is a key regulator of cell cycle-dependent gene expression;  particularly activating gene transcription required for G2/M phase progression. MuvB associates with B-Myb to drive the transition from repression to activation of mitotic gene expression.,B-Myb (MYBL2);  LIN9;  LIN37;  LIN52;  LIN54;  RBBP4,MYBL2;  LIN9;  LIN37;  LIN52;  LIN54;  RBBP4,0.985,Not Found; Q6P142; Not Found; Not Found; Not Found; B4DRT0
contextual,Myb-MuvB transcriptional activation complex,Drosophila Melanogaster,"Human;  Mouse;  C. elegans (as homologous or functionally analogous complexes;  direct orthologous ""Myb-MuvB"" complex with Myb as component is most prominent and mechanistically defined in Drosophila)",Activates transcription of cell cycle-regulated genes;  essential for G2/M phase gene expression. This complex specifically binds promoters at cell cycle gene homology region (CHR) and CDE/CHR motifs.,dMyb (Myb oncoprotein homolog);  Mip130;  Mip120;  Mip40;  Lin-52;  Lin-9;  Caf1/p55,Myb;  mip130;  mip120;  mip40;  lin-52;  lin-9;  Caf1/p55,0.955,Not Found; Not Found; Not Found; Not Found; Q9W482; Not Found; Not Found
zero-shot,CORVET tethering complex,Saccharomyces cerevisiae,The CORVET tethering complex (with orthologous proteins and similar function) is also found in Human;  Mouse;  C. elegans;  and Drosophila melanogaster.,The CORVET (Class C core vacuole/endosome tethering) tethering complex functions as an early endosomal tethering factor involved in the fusion of the early endosome membranes. It serves as a multi-subunit tethering complex that facilitates Rab5-dependent endosome fusion;  aiding in endosome maturation and protein sorting.,Vps3;  Vps8;  Vps11;  Vps16;  Vps18;  Vps33,VPS3;  VPS8;  VPS11;  VPS16;  VPS18;  VPS33,0.985,B3LFH2; B3LUU1; Not Found; Not Found; Not Found; A0A6C1DP95
few-shot,CORVET tethering complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The CORVET (Class C Core Vacuole/Endosome Tethering) complex is a multisubunit tethering complex required for the fusion of early endosomes;  facilitating endosomal trafficking by mediating Rab5-dependent vesicle tethering and fusion before maturation to late endosomes.,Vps3;  Vps8;  Vps11;  Vps16;  Vps18;  Vps33,VPS3;  VPS8;  VPS11;  VPS16;  VPS18;  VPS33,0.985,B3LFH2; B3LUU1; Not Found; Not Found; Not Found; A0A6C1DP95
contextual,CORVET tethering complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,The CORVET (Class C core vacuole/endosome tethering) complex acts as a multi-subunit tethering complex involved in the early steps of endosome fusion;  facilitating the merging of early endosomes through Rab5-dependent mechanisms.,Vps3; Vps8; Vps11; Vps16; Vps18; Vps33,VPS3; VPS8; VPS11; VPS16; VPS18; VPS33,1,B3LFH2; B3LUU1; Not Found; Not Found; Not Found; A0A6C1DP95
zero-shot,Sodium leak channel complex,Homo Sapiens,Mouse (Mus musculus),The Sodium leak channel complex mediates background (leak) sodium ion conductance across the plasma membrane;  contributing to the resting membrane potential in neurons and other excitable cells. This non-voltage-gated pathway is crucial for neuronal excitability and rhythmic activity;  particularly involved in setting and stabilizing the resting membrane potential and regulating neuronal firing.,Sodium leak channel non-selective protein (NALCN); UNC-79 homolog (UNC79); UNC-80 homolog (UNC80); NLF-1 (NALCN auxiliary factor 1;  also called FAM155A or FAM155B),NALCN; UNC79; UNC80; FAM155A or FAM155B,0.985,Not Found; Not Found; Not Found; Not Found; Not Found
few-shot,Sodium leak channel complex,Drosophila Melanogaster,Human;  C. elegans,Voltage-gated ion channel responsible for the depolarizing sodium (Na+) leak currents that determine resting Na(+) permeability and control neuronal excitability. Functions downstream of the molecular circadian clock in pacemaker neurons to promote behavioral rhythmicity.,Protein unc-80 homolog;  Narrow abdomen isoform F;  Uncoordinated 79 isoform B,unc80;  na;  unc79,0.92,Q9VB11; A8JUW5; E1JIP9
contextual,Sodium leak channel complex,Homo Sapiens,Mouse;  Drosophila melanogaster;  C. elegans,Mediates the voltage-independent;  non-selective cation sodium leak current;  thereby regulating neuronal excitability;  resting membrane potential;  and responsiveness to neurotransmitters in the central nervous system.,Sodium leak channel non-selective protein (NALCN);  UNC79 homolog (UNC79);  UNC80 homolog (UNC80);  Family with sequence similarity 155 member A (FAM155A),NALCN;  UNC79;  UNC80;  FAM155A,0.97,Not Found; Not Found; Not Found; Not Found
zero-shot,ATG1 protein kinase complex,Saccharomyces cerevisiae,Homo sapiens;  Mus musculus;  Drosophila melanogaster;  Caenorhabditis elegans,The ATG1 protein kinase complex in Saccharomyces cerevisiae is a serine/threonine kinase complex essential for the initiation of autophagy. It mediates the induction of autophagosome formation in response to nutrient starvation by regulating downstream autophagy machinery.,Atg1;  Atg13;  Atg17;  Atg29;  Atg31,ATG1;  ATG13;  ATG17;  ATG29;  ATG31,1,B5VIE9; Not Found; Not Found; Not Found; Not Found
few-shot,ATG1 protein kinase complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,Initiates autophagy by phosphorylating downstream targets;  functions at an early stage in autophagosome formation in response to nutrient starvation.,Atg1;  Atg13;  Atg17;  Atg29;  Atg31,ATG1;  ATG13;  ATG17;  ATG29;  ATG31,0.985,B5VIE9; Not Found; Not Found; Not Found; Not Found
contextual,ATG1 protein kinase complex,Saccharomyces cerevisiae,Drosophila melanogaster;  Human,The ATG1 protein kinase complex is essential for the initiation of autophagy;  specifically the induction and regulation of autophagosome formation through phosphorylation of downstream autophagy-related (Atg) proteins.,Atg1;  Atg13;  Atg17;  Atg29;  Atg31,ATG1;  ATG13;  ATG17;  ATG29;  ATG31,0.985,B5VIE9; Not Found; Not Found; Not Found; Not Found
zero-shot,NXF1-NXT1 mRNA nuclear export factor complex,Homo Sapiens,Mouse (Mus musculus);  Drosophila melanogaster,This complex mediates the export of mature mRNA from the nucleus to the cytoplasm through interaction with the nuclear pore complex;  a crucial step in gene expression regulation.,NXF1 (Nuclear RNA export factor 1);  NXT1 (Nuclear transport factor 2-like export factor 1;  also known as p15),NXF1;  NXT1,1,Not Found; Not Found; Not Found
few-shot,NXF1-NXT1 mRNA nuclear export factor complex,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae (orthologous complexes present in all listed organisms),This complex mediates the nuclear export of mRNA by recognizing mature mRNA-protein complexes (mRNPs) and facilitating their translocation through the nuclear pore complex to the cytoplasm.,Nuclear RNA export factor 1 (NXF1);  Nuclear transport factor 2-like export factor 1 (NXT1;  also known as p15),NXF1;  NXT1,0.985,Not Found; Not Found; Not Found
contextual,NXF1-NXT1 mRNA nuclear export factor complex,Homo Sapiens,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae (with functional homologues;  e.g.;  Mex67-Mtr2 in yeast;  Sbr-Nxt1 in fly),Mediates the export of mRNA from the nucleus to the cytoplasm by interacting with mRNA-protein complexes and components of the nuclear pore complex (NPC);  serves as the principal mRNA export receptor.,Nuclear RNA export factor 1 (NXF1);  Nuclear transport factor 2-like export factor 1 (NXT1),NXF1;  NXT1,1,Not Found; Not Found
zero-shot,MON1-CCZ1 guanyl-nucleotide exchange factor complex,Homo Sapiens,The MON1-CCZ1 complex is also found in Mouse (Mus musculus);  C. elegans;  Drosophila melanogaster;  and Saccharomyces cerevisiae;  with conserved functions;  however;  this analysis focuses on the human complex.,The MON1-CCZ1 complex functions as a guanine nucleotide exchange factor (GEF) specifically for the small GTPase RAB7;  facilitating the exchange of GDP for GTP on RAB7. This activation regulates maturation and fusion of late endosomes and lysosomes;  thereby playing a crucial role in endosomal trafficking;  autophagy;  and lysosome biogenesis.,MON1B protein;  CCZ1 protein (note: in humans;  MON1 has paralogs MON1A and MON1B;  but MON1B is more studied in the context of this GEF complex),MON1B (Gene ID: 22985);  CCZ1 (Gene ID: 84334),1,Not Found; Not Found; Not Found; Not Found
few-shot,MON1-CCZ1 guanyl-nucleotide exchange factor complex,Homo Sapiens,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae;  C. elegans,Functions as a guanine nucleotide exchange factor (GEF) specifically for the small GTPase RAB7;  facilitating conversion of RAB7 from GDP- to GTP-bound form. It plays a crucial role in the endosomal maturation pathway;  promoting the transition from early endosomes (Rab5-positive) to late endosomes (Rab7-positive);  and is essential for proper trafficking and degradation of endocytosed cargo.,MON1 homolog B;  CCZ1 homolog,MON1B;  CCZ1,0.985,H3BPL8; P86790
contextual,MON1-CCZ1 guanyl-nucleotide exchange factor complex,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,Acts as a guanine nucleotide exchange factor (GEF) for the small GTPase RAB7;  mediating the conversion of late endosomes from a RAB5-positive to a RAB7-positive identity;  essential for endosomal maturation;  lysosomal trafficking;  and autophagosome-lysosome fusion.,Monensin sensitivity protein 1 homolog (MON1B or MON1A);  CCZ1 homolog (CCZ1B or CCZ1A),MON1A;  CCZ1,0.985,Not Found; Not Found
zero-shot,HipHop-HOAP telomere-capping complex,Drosophila Melanogaster,Not found in Human;  Mouse;  C. elegans;  or Saccharomyces cerevisiae. The HipHop-HOAP complex is considered Drosophila-specific.,The HipHop-HOAP complex is essential for chromosome end-protection (telomere capping) in Drosophila melanogaster;  preventing recognition of chromosome ends as DNA breaks and suppressing inappropriate DNA repair and fusion.,HOAP (HP1/ORC-Associated Protein);  HipHop,cav (encoding HOAP);  hiphop (encoding HipHop),1,Not Found; Not Found
few-shot,HipHop-HOAP telomere-capping complex,Drosophila Melanogaster,,Essential for protecting Drosophila telomeres from recognition as DNA breaks;  preventing telomere fusion and degradation. Facilitates the assembly of the terminin complex;  critical for chromosome end capping;  distinguishing telomeres from double-strand breaks.,HipHop protein;  HOAP (HP1/ORC-associated protein;  also known as HP1/ORC-associated protein),hiphop;  cav (cav for caravaggio;  encodes HOAP),0.967,Not Found; Not Found; Not Found
contextual,HipHop-HOAP telomere-capping complex,Drosophila Melanogaster,,The HipHop-HOAP complex is essential for telomere capping and protection in Drosophila melanogaster. It safeguards chromosome ends from being recognized as DNA breaks;  thereby preventing unwarranted DNA damage responses and end-to-end fusions. The complex facilitates the special telomere maintenance mechanism unique to Drosophila;  which involves transposon-mediated elongation rather than telomerase.,HP1/ORC-associated protein (HOAP);  HP1-HOAP interacting protein (HipHop),cav (cav for caviller;  encodes HOAP);  CG40127 (encodes HipHop),0.985,Not Found; Not Found
zero-shot,ZFP-1(AF10)/DOT-1 complex,Caenorhabditis Elegans,The highly analogous AF10/DOT1L complex exists in Human and Mouse;  but the ZFP-1(AF10)/DOT-1 complex with these specific orthologs and regulatory functions is most characterized in C. elegans.,Regulates H3K79 methylation and chromatin-mediated transcriptional control;  especially at heterochromatic and Pol II-regulated genes;  implicated in RNAi-dependent gene silencing and developmental gene expression regulation.,ZFP-1 and DOT-1.1,zfp-1 (C31H2.3);  dot-1.1 (F39H11.5),0.985,Not Found
few-shot,ZFP-1(AF10)/DOT-1 Complex,Caenorhabditis Elegans,Human;  Mouse,This complex regulates transcription via chromatin modification;  notably by methylating histone H3 (at lysine 79);  thus influencing gene expression linked to RNAi and developmental processes.,ZFP-1 (Zinc finger protein 1 homolog of AF10);  DOT-1.1 (Disruptor of telomeric silencing 1-like protein),zfp-1;  dot-1.1,0.955,Not Found; Not Found
contextual,ZFP-1(AF10)/DOT-1 complex,Caenorhabditis Elegans,Human;  Mouse,The ZFP-1(AF10)/DOT-1 complex in C. elegans functions as a chromatin-modifying complex that regulates gene expression through methylation of histone H3 at lysine 79 (H3K79);  thus influencing transcriptional elongation. It is important in modulating transcription of genes involved in development and stress response;  and acts primarily as a repressor in specific pathways.,Zinc finger protein 1 (ZFP-1;  also known as AF10 homolog);  DOT-1 histone methyltransferase (CeDOT-1.1),zfp-1;  dot-1.1,0.985,Not Found; Not Found; Not Found
zero-shot,ced-3-ced-4-mac-1 complex,Caenorhabditis Elegans,No direct evidence supports the existence of this exact complex (comprising all three components: CED-3;  CED-4;  and MAC-1) in Human;  Mouse;  Drosophila melanogaster;  or Saccharomyces cerevisiae.,This complex is fundamental in the execution of programmed cell death (apoptosis) in C. elegans. It facilitates the activation of the caspase CED-3 by promoting its proteolytic maturation;  with CED-4 functioning as an adaptor. MAC-1 is proposed to be involved in modulating the assembly or activity of the CED-3/CED-4 complex;  although its mechanistic details are less characterized than those of CED-3 and CED-4.,CED-3;  CED-4;  MAC-1,ced-3;  ced-4;  mac-1,0.94,Q95NM6; Q9NAG4; Q9NAG4
few-shot,CED-3–CED-4–MAC-1 complex,Caenorhabditis Elegans,,This protein complex is involved in the regulation and execution of apoptosis in the nematode Caenorhabditis elegans. CED-3 is a cysteine protease (caspase) that serves as the primary executioner of programmed cell death. CED-4;  an Apaf-1 homolog;  functions as an adaptor;  activating CED-3 by oligomerization. MAC-1 (also referred to as MAC-1 protein or mitochondrial apoptosis-induced channel-1 in C. elegans) enhances or facilitates the apoptotic process;  potentially via interactions with CED-4 and modulation of mitochondrial events during apoptosis.,CED-3 caspase;  CED-4 apoptotic protease-activating factor homolog;  MAC-1 protein,ced-3;  ced-4;  mac-1,0.934,Not Found; Not Found; Not Found
contextual,ced-3-ced-4-mac-1 complex,Caenorhabditis Elegans,,This complex is fundamental in the apoptotic pathway of C. elegans;  where it mediates programmed cell death. ced-4;  a homolog of mammalian APAF-1;  facilitates the activation of ced-3;  a caspase protease. MAC-1 is thought to modulate the activity and/or assembly of the ced-3-ced-4 complex;  thus influencing apoptosis execution in the organism.,Apoptotic protease CED-3;  Apoptotic protease activating factor CED-4;  MAC-1 protein,ced-3;  ced-4;  mac-1,0.985,Not Found; Not Found; Not Found
